node1,node2,free_bw,used_bw,delay,pkloss
1,3,139154.238815,60843312.938409,2.197146,0.001069
1,7,106597.641878,93402358.12231,1.504064,0.001214
1,16,137928.006405,62070327.695245,0.0,0.00651
2,4,145280.184147,54718867.19783,1.645446,0.004594
2,7,150504.313019,49495272.17626,1.66142,0.009378
2,12,156113.023116,43885594.126456,1.217365,0.003419
2,13,170620.282198,29378524.967476,2.033353,0.004107
2,18,34848.417893,15148164.952858,1.444578,0.004195
2,23,39123.538477,10875812.827186,1.762509,0.019617
3,10,151018.294636,48981043.815942,1.372695,0.006636
3,11,35850.176141,14147437.95036,2.027035,0.008423
3,14,0,3099928.924627,1827.402115,0.019194
3,21,174673.386709,25324749.655423,0.676274,0.016814
4,16,136372.393915,63627009.607685,0.665545,0.00646
5,8,16919.183347,33079027.221777,49.184203,0.0
5,16,43.650921,49955752.602081,167.027116,0.003575
6,7,53.408659,3046326.398088,8.549929,0.0
6,19,0,3100477.258519,2699.682832,0.0
7,17,116813.932539,83185483.690325,0.82171,0.004746
7,19,27649.956961,22349521.119047,0.952005,0.003461
7,21,170557.061943,29442305.781397,1.587749,0.008607
8,9,16109.167334,33890739.123578,59.472919,0.001195
9,15,26367.402662,23631414.761676,0.901818,0.020054
9,16,104265.220176,95731815.895314,0.84281,0.004989
10,11,36.493195,49962199.715144,96.568584,0.002729
10,12,138732.057646,61266666.063366,1.400471,0.002671
10,16,83203.610889,116794720.123539,1.14429,0.003167
10,17,100169.807846,99827582.817586,0.628233,0.002415
12,22,168943.626902,31055180.144115,1.07801,0.004357
13,14,658.074652,2441925.347744,1367.538691,0.0
13,17,167695.450816,32303779.796377,0.973344,0.011734
13,19,25914.059247,24084735.611965,1.199961,0.007037
15,20,27766.717374,22233282.6261,1.919508,0.004105
17,20,147699.495596,52299907.92634,1.162767,0.004451
17,23,39177.325861,10822077.66213,1.27399,0.009136
18,21,28463.172221,21533730.142727,1.314759,0.005458
20,22,19987.46197,30011345.07606,31.969547,0.003576
