node1,node2,free_bw,used_bw,delay,pkloss
1,3,151573.466693,48424744.948992,3.007889,0.000962
1,7,119369.913983,80628893.778759,0.641465,0.003505
1,16,148404.105232,51595102.815304,0.794172,0.008169
2,4,152074.182255,47924613.213524,2.38204,0.001044
2,7,165417.857357,34580413.189769,1.769423,0.003875
2,12,152270.916367,47729081.178534,1.533628,0.001736
2,13,166487.402221,33511292.887265,6.472349,0.006193
2,18,5907.612284,44091259.831768,2.610803,0.019706
2,23,32792.893868,17206245.604427,1.869202,0.00302
3,10,136814.029612,63185015.600163,0.774384,0.002315
3,11,39179.05181,10820736.963384,4.333258,0.021883
3,14,0,3100167.049515,4963.03153,0.019198
3,21,155779.183673,44219970.075646,0.0,0.002886
4,16,163616.252876,36383119.811317,1.437783,0.0
5,8,18470.716287,31528803.775786,1.435161,0.017803
5,16,0.143928,49999591.935155,215.943336,0.015495
6,7,778.519704,2321379.892132,930.984259,0.0
6,19,636.929228,2463070.771691,1334.855556,0.0
7,17,150496.875375,49501427.271948,1.922965,0.003371
7,19,17739.312275,32259041.602002,0.799179,0.019969
7,21,134964.497799,65033170.184255,0.0,0.000945
8,9,28690.244098,21309106.836739,0.960588,0.018012
9,15,15900.928371,34098627.268598,31.448603,0.019478
9,16,127419.801941,72577987.085686,1.502275,0.015378
10,11,22460.744298,27538783.273429,103.566289,0.014305
10,12,131284.513806,68712505.002006,1.2151,0.002513
10,16,94194.901961,105800998.554476,1.393437,0.002415
10,17,124547.412224,75449803.291926,1.490116,0.002099
12,22,184891.12445,15108632.67766,0.0,0.0
13,14,221.168467,2878687.547841,45.265198,0.0
13,17,158690.575173,41307317.45574,1.823783,0.005913
13,19,18960.623751,31036891.005903,1.039267,0.023607
15,20,15516.823047,34483113.086383,0.935674,0.005864
17,20,149920.784235,50078619.585874,1.143575,0.001009
17,23,32231.293388,17768414.118155,2.015948,0.005734
18,21,1778.423369,48221360.086618,37.014008,0.014966
20,22,34416.23988,15582841.348356,0.0,0.005721
