node1,node2,free_bw,used_bw,delay,pkloss
1,3,46458.39984,153533306.345869,0.202417,0.002685
1,7,88988.778825,110999681.76547,1.529813,0.006474
1,8,86014.829073,113984311.952548,2.200127,0.017115
1,10,82622.211529,117372916.693999,1.564384,0.011746
1,12,114382.636591,85607314.148629,1.393914,0.027176
1,30,155943.420894,44056005.898994,0.22769,0.018904
2,3,10430.676692,189565680.302582,0.679016,0.00985
2,4,47685.871265,152310543.412871,1.118541,0.004522
2,5,3569.633046,196410195.496248,0.163198,0.021237
2,17,128402.173651,71593639.991294,0.955224,0.000747
2,21,89421.359535,110574457.589711,0.971794,0.002862
2,22,108342.542322,91646226.3325,1.134276,0.019609
2,28,173583.204331,26413679.037376,0.540733,0.003514
2,31,135617.036294,64379138.995673,1.88756,0.006838
3,4,7903.18829,192087848.405852,1.054168,0.006182
3,5,9815.359936,190161626.923087,1.294255,0.047012
3,6,5555.901344,194441636.667974,1.999617,0.038121
3,7,88590.759976,111405654.702204,1.184583,0.003161
3,12,129388.094236,70605287.151303,1.670718,0.01307
3,13,43507.929825,156480793.459482,1.491547,0.018504
3,15,78654.853133,121338083.760431,1.129031,0.024032
3,20,62769.320233,137220813.567905,2.580762,0.003953
3,27,142595.267696,57397074.923924,0.542879,0.013286
3,31,128698.538346,71297865.376895,0.336528,0.018424
3,32,33671.98797,166322008.822332,3.294826,0.011247
4,11,86476.615199,113519064.19512,1.323223,0.03089
4,14,85469.187888,114529253.67481,1.372218,0.014755
4,16,71729.039503,128270505.812553,0.976324,0.007978
4,17,133703.717666,66295684.78044,1.198888,0.001454
5,6,3353.333333,196638309.294864,1.221061,0.006678
5,9,131323.798077,68675008.012818,1.973629,0.00471
5,10,90308.370927,109676812.132501,0.305533,0.009121
5,11,32618.461538,167377956.730763,3.113151,0.004172
5,15,71556.675689,128420055.584883,2.327085,0.01104
5,16,40292.218546,159687732.874232,2.686739,0.030805
6,8,54021.429574,145973664.219451,1.540422,0.01382
6,19,98803.389763,101193333.163571,0.179768,0.002741
6,23,162298.605769,37698782.136442,0.065923,0.015758
6,27,163430.432692,36560970.120014,0.045896,0.01113
7,9,158437.5,41562421.044711,2.619267,0.020538
8,18,120198.112792,79789075.934959,1.109242,0.00774
10,29,139963.637093,60035765.413543,0.355482,0.00559
11,13,116488.204511,83509972.263596,0.535488,0.012938
11,29,98834.654637,101164519.636838,2.197266,0.021133
13,14,94784.793985,105214608.521319,1.138806,0.002105
13,22,104036.435088,95959143.970721,2.756715,0.009346
14,20,70459.677193,129539127.819568,1.519203,0.005053
14,21,122652.560658,77344159.771394,1.342058,0.002494
14,24,117450.121303,82549682.938119,1.796484,0.006742
15,18,110999.25874,89000581.156393,1.80757,0.009295
15,19,107395.544862,92592564.107389,1.041412,0.018207
15,26,144959.92782,55039474.686725,1.438498,0.002426
15,28,176905.52782,23094472.180454,0.39959,0.002944
16,23,153512.620814,46486841.47264,10.473251,0.005053
16,25,170858.363217,29138385.308555,1.651287,0.01698
19,24,130276.918762,69718395.586999,1.642942,0.006031
19,25,174461.945307,25536775.743924,0.828266,0.0
20,26,139215.623058,60782584.461162,3.78716,0.006991
22,32,130809.407994,69186072.945566,1.125216,0.014112
26,30,162810.745192,37184522.14069,0.088215,0.011385
