node1,node2,free_bw,used_bw,delay,pkloss
1,3,109326.1563,90669918.959624,3.449559,0.001406
1,7,140542.488038,59456925.023026,0.631571,0.003752
1,8,121628.708134,78368509.918652,0.825524,0.031748
1,10,101295.079745,98704420.267108,0.761271,0.008528
1,12,138072.129187,61926653.427054,1.967788,0.027945
1,30,143990.948061,56007448.617022,2.612352,0.003166
2,3,147872.178593,52127449.027142,0.556111,0.003239
2,4,150669.662115,49330255.64769,0.771761,0.001775
2,5,126211.408633,73788139.230969,0.368834,0.011091
2,17,129121.403229,70873283.437808,2.385259,0.001617
2,21,128907.522424,71091311.035257,3.469348,0.00297
2,22,128985.975683,71012760.339305,1.291513,0.011662
2,28,133885.727952,66113947.502593,1.716375,0.002151
2,31,140714.666135,59278238.873443,2.555132,0.002729
3,4,158167.630818,41828210.904015,1.857877,0.005787
3,5,183742.226652,16256423.310403,0.382423,0.014233
3,6,75809.971095,124189683.511315,62.333107,0.002511
3,7,92306.452706,107692953.254267,0.627518,0.000925
3,12,132759.270408,67237786.468493,1.977444,0.034049
3,13,78258.427817,121740890.746103,1.874447,0.010104
3,15,153665.595855,46333608.929911,1.972914,0.01046
3,20,101116.316524,98882671.001526,108.489037,0.003384
3,27,143850.086714,56146658.070081,1.926422,0.03174
3,31,144396.603209,55601024.820167,2.668858,0.003536
3,32,129096.394619,70903543.944448,1.698136,0.006013
4,11,153974.733905,46024507.050822,0.736475,0.005434
4,14,130716.962025,69282184.591163,4.521012,0.009775
4,16,103631.229819,96365156.391134,2.00212,0.003157
4,17,153985.425553,46012281.74262,4.087329,0.002127
5,6,109971.347687,90027792.410902,0.50962,0.001664
5,9,124829.349018,75168274.349517,0.5548,0.001435
5,10,98998.84006,100995748.946275,0.572085,0.012078
5,11,121464.681021,78535074.503091,2.357602,0.001169
5,15,148223.730436,51774655.308279,1.634359,0.00974
5,16,113992.976582,86004564.445532,0.458241,0.010838
6,8,112101.650534,87892934.701155,0.680923,0.028741
6,19,86347.599681,113650618.022327,0.627041,0.000759
6,23,104307.275264,95691569.70446,2.276301,0.006422
6,27,162659.055982,37340077.271936,3.23081,0.032427
7,9,117525.957532,82470574.508375,1.152158,0.002763
8,18,131454.259795,68543066.68985,1.99759,0.027941
10,29,120676.966617,79322234.251876,0.537395,0.004866
11,13,103555.031898,96444104.057008,1.71876,0.01299
11,29,147035.806259,52962344.079569,0.894785,0.007924
13,14,131629.748904,68368626.594155,1.797318,0.002458
13,22,117416.632439,82580654.588294,0.49448,0.011794
14,20,105887.014747,94109297.091357,1.796007,0.006086
14,21,128678.226208,71320002.081198,1.815319,0.002954
14,24,101082.085535,98915246.590894,2.173305,0.013465
15,18,95906.968398,104091450.03776,0.681043,0.009987
15,19,111926.592268,88073143.260025,1.398921,0.007638
15,26,135034.371699,64962391.671398,2.591848,0.002665
15,28,129193.726584,70803897.967317,2.969861,0.000653
16,23,109039.625311,90960155.45272,1.771331,0.003835
16,25,147524.536124,52473210.407113,1.752615,0.012317
19,24,90867.271458,109132042.101711,0.569344,0.002741
19,25,155114.545455,44884860.44657,1.545429,0.001238
20,26,160984.891369,39013758.600328,1.740932,0.002376
22,32,123863.247931,76134050.174806,3.322244,0.010228
26,30,138397.201794,61602603.36991,5.411029,0.011107
