node1,node2,free_bw,used_bw,delay,pkloss
1,3,31045.465244,168948487.960446,59.307933,0.001166
1,7,100055.881121,99942107.305487,0.0,0.002398
1,8,104151.868198,95837711.692942,0.870943,0.044091
1,10,87364.938173,112631023.736422,0.754714,0.000894
1,12,179513.4816,20486462.075561,4.972577,0.048524
1,30,153320.765856,46679184.240842,0.923514,0.041037
2,3,107081.14468,92918139.267266,0.0,0.020788
2,4,122615.534949,77384163.120009,1.524568,0.014715
2,5,113973.564662,86020283.298107,126.780629,0.078797
2,17,73452.268422,126545354.472025,1.920104,0.001589
2,21,128802.002194,71196825.423616,1.798511,0.002436
2,22,74790.531459,125198774.362342,0.401497,0.052293
2,28,149434.097118,50562050.234558,1.58453,0.0017
2,31,149457.868182,50541252.330953,1.560926,0.003626
3,4,136107.514958,63892485.041881,0.899196,0.016272
3,5,151260.586475,48739307.879281,0.325918,0.215211
3,6,108057.676274,91940711.125018,1.782775,0.10193
3,7,62201.898684,137795723.972848,0.0,0.000833
3,12,166370.175719,33629315.810297,0.932217,0.054861
3,13,52927.929797,147070078.163907,55.230856,0.024319
3,15,145769.038692,54223445.961712,0.154376,0.053079
3,20,76153.338652,123832991.623451,1.770616,0.002091
3,27,142199.329073,57799370.166086,0.986695,0.041948
3,31,153471.727164,46527850.903123,1.782894,0.006887
3,32,39179.684945,160820305.114168,68.214417,0.002011
4,11,59481.532017,140515153.417255,0.867248,0.068834
4,14,39998.699641,159998764.026592,1.918793,0.006143
4,16,77998.15716,121996215.537666,0.409365,0.004435
4,17,113834.280016,86165584.092145,0.907183,0.006912
5,6,92144.367082,107853197.928866,0.0,0.014699
5,9,124191.842027,75805399.553263,0.764966,0.00103
5,10,93819.597048,106167661.603749,0.0,0.046078
5,11,59736.283292,140257910.618232,1.425862,0.00363
5,15,94145.500249,105839477.968221,0.48542,0.054658
5,16,77130.565586,122856041.234875,0.623345,0.052866
6,8,77694.538193,122305386.732898,0.120759,0.012188
6,19,73996.409694,126002995.91104,0.648141,0.001227
6,23,137017.795951,62982035.411051,1.695871,0.072489
6,27,156609.059539,43387990.198426,0.944614,0.012814
7,9,135464.443558,64534019.369878,0.0,0.027069
8,18,120907.69599,79088131.036236,0.662208,0.00394
10,29,69638.050045,130360647.893398,0.0,0.006732
11,13,121063.173844,78932506.435432,0.307083,0.035582
11,29,109174.639011,90824314.246859,0.840187,0.042012
13,14,116729.816587,83269580.790386,0.933766,0.007508
13,22,154993.301435,44998304.902121,0.877023,0.042122
14,20,87794.000798,112204668.427768,0.508547,0.004419
14,21,150716.817865,49282073.620038,1.045942,0.002733
14,24,43499.078396,156500537.563947,17.28797,0.038846
15,18,56695.966487,143300402.759818,60.020089,0.038614
15,19,103870.709085,96119631.00209,0.972867,0.044194
15,26,118010.983051,81984930.167337,0.179768,0.003961
15,28,149672.335759,50325287.608419,1.30868,0.001702
16,23,113291.05704,86706240.173771,0.10848,0.00316
16,25,90112.627169,109885200.025848,0.973701,0.042518
19,24,50392.276082,149602046.859676,0.88501,0.001726
19,25,121949.228007,78046879.962715,0.909448,0.0
20,26,140393.962114,59604255.480873,0.248075,0.010435
22,32,91508.889332,108480592.733017,1.854062,0.047132
26,30,142975.242273,57023778.085508,0.053048,0.031434
