node1,node2,free_bw,used_bw,delay,pkloss
1,3,28755.626131,171240560.967435,58.86054,0.002076
1,7,20150.367839,179847782.616426,57.977796,0.002241
1,8,59954.787854,140017215.65977,0.832796,0.012241
1,10,35536.929728,164441994.386547,1.195788,0.009369
1,12,143594.621646,56397822.409747,0.546575,0.015649
1,30,153178.776002,46818836.785547,3.619671,0.037983
2,3,66.706876,199929372.190262,35.285354,0.007953
2,4,10639.895456,189348860.312013,79.331994,0.004303
2,5,6098.920495,193898366.36321,92.989087,0.013451
2,17,112078.520306,87918858.251065,1.810551,0.001929
2,21,92490.993164,107506610.373944,1.051784,0.002443
2,22,64409.256132,135574370.428786,44.439197,0.048451
2,28,175968.20585,24026420.851096,1.289368,0.025015
2,31,94485.252363,105507735.700405,2.093673,0.004099
3,4,82.934673,199908080.402009,97.763181,0.004335
3,5,39.807035,199952177.558072,120.143771,0.021505
3,6,3766.705528,196226430.455769,116.141915,0.030069
3,7,37049.21407,162944795.979899,23.183703,0.000402
3,12,128508.669683,71486545.56038,0.480771,0.012246
3,13,1241.753469,198755029.204737,82.522511,0.018163
3,15,1605.662009,198389800.891972,67.719579,0.018187
3,20,38506.066332,161484078.101636,41.245103,0.003774
3,27,122391.667002,77581049.22445,2.304554,0.01678
3,31,104064.63704,95922069.41969,3.261447,0.016496
3,32,91966.367839,108016333.571354,7.907271,0.006003
4,11,41681.841206,158313238.95544,0.530481,0.027353
4,14,87378.066332,112609290.115234,24.427772,0.007008
4,16,32350.639324,167637303.453333,2.82383,0.002637
4,17,136580.711558,63414687.944095,1.797199,0.00235
5,6,10954.733039,189037062.539331,2.257586,0.010449
5,9,92618.121236,107374094.107841,0.770092,0.011926
5,10,10228.901176,189770807.288664,54.188728,0.029356
5,11,17311.442906,182685761.738225,86.741447,0.003239
5,15,18537.166985,181454314.360193,42.11998,0.022066
5,16,26178.455971,173818265.492298,27.019382,0.022782
6,8,90808.292781,109185195.239357,1.424074,0.038137
6,19,57278.121236,142721280.610198,1.212716,0.000856
6,23,112759.879397,87238049.061041,0.934601,0.047062
6,27,132854.325357,67132877.466056,3.70574,0.035393
7,9,98240.144724,101742797.971387,0.0,0.047055
8,18,91991.184396,107953694.304891,1.36292,0.066059
10,29,66926.542676,133064776.903115,0.385046,0.008324
11,13,48646.406422,151326179.455159,26.210785,0.042556
11,29,37291.006523,162702255.532555,12.157321,0.041761
13,14,52839.46109,147142750.355743,0.433922,0.004175
13,22,53742.113397,146246578.531802,0.620842,0.042101
14,20,63813.046537,136178221.403629,1.544237,0.009902
14,21,92894.796944,107103405.709692,0.651598,0.003644
14,24,85249.718013,114737493.225084,6.469369,0.073421
15,18,70668.993666,129323650.683092,1.577735,0.053802
15,19,45702.609394,154290832.630932,4.71282,0.033021
15,26,119772.683221,80223284.444953,1.547098,0.005928
15,28,181940.749975,18055055.795718,3.242016,0.012973
16,23,116175.300503,83819346.129923,0.267863,0.001234
16,25,115833.775633,84159659.754609,0.490308,0.028515
19,24,129167.683661,70831752.750445,0.430703,0.004687
19,25,91892.059414,108106744.279406,1.44124,0.001769
20,26,124973.880177,75015160.62518,3.397107,0.010827
22,32,74073.746111,125919419.666463,1.504779,0.049381
26,30,168419.379829,31579445.589922,1.350403,0.077049
