node1,node2,free_bw,used_bw,delay,pkloss
1,3,100686.885213,99309529.824576,1.903415,0.000565
1,7,156894.267669,43105134.837099,1.294136,0.004795
1,8,142013.040601,57985764.411025,2.060413,0.004871
1,10,124696.525313,75297499.749371,0.90158,0.005387
1,12,152397.481704,47597145.27458,1.921654,0.005961
1,30,159272.340852,40726464.1604,0.711441,0.002385
2,3,144792.581454,55206223.558905,1.512051,0.001595
2,4,126755.536842,73243865.664158,0.466228,0.007853
2,5,135597.201002,64399811.528831,2.598047,0.003658
2,17,133929.046617,66070953.383468,0.227571,0.0
2,21,127179.757393,72818450.125324,0.424743,0.001354
2,22,95513.784461,104485618.045128,1.349092,0.010094
2,28,106325.982957,93668724.640001,0.6603,0.00169
2,31,146076.094236,53923905.764419,0.0,0.001932
3,4,151743.9198,48255482.706756,0.931978,0.002287
3,5,166749.377444,33249427.568927,1.863837,0.003832
3,6,94158.668672,105839538.847095,1.57702,0.00083
3,7,108767.342356,91231462.656655,0.848293,0.001307
3,12,108549.414595,91449791.950602,2.181768,0.008374
3,13,93928.03609,106069573.934814,0.397801,0.005945
3,15,158458.554386,41538458.145362,1.496553,0.013899
3,20,105466.786967,94532018.045127,1.142263,0.004046
3,27,143459.071679,56540928.32081,0.0,0.010133
3,31,150643.336341,49354871.177943,0.0,0.009392
3,32,82920.958396,117076651.629068,5.415559,0.007262
4,11,96856.950376,103137282.63079,2.198815,0.004936
4,14,118471.883709,81525726.315787,1.953721,0.005347
4,16,91841.53985,108155428.952469,2.131104,0.001293
4,17,132649.215038,67349589.974935,2.766371,0.002158
5,6,114661.020551,85337186.967415,3.709316,0.00183
5,9,96451.753383,103546454.135353,2.031565,0.002788
5,10,115122.333835,84877666.16541,2.47705,0.008681
5,11,83395.416541,116599336.637118,0.64075,0.002925
5,15,174968.453133,25030351.879698,1.55282,0.017503
5,16,134163.26416,65834630.951071,0.678539,0.012041
6,8,111714.133333,88284671.679179,1.648307,0.005937
6,19,114484.210526,85515789.473665,1.758814,0.0
6,23,105425.010526,94573196.992478,0.388145,0.003661
6,27,153876.972431,46122430.075186,0.681758,0.011985
7,9,130525.626065,69473776.441113,1.169324,0.003225
8,18,134344.902256,65651512.781952,0.87738,0.009838
10,29,129910.255639,70089218.611883,0.971079,0.007003
11,13,135932.992481,64062004.160358,0.994563,0.01554
11,29,123988.29992,76009310.344837,4.108667,0.006577
13,14,116720.03208,83278175.438593,0.0,0.002034
13,22,158191.97594,41805036.591477,1.16396,0.017237
14,20,106175.462657,93823939.849638,1.584291,0.002971
14,21,140797.834586,59200372.932339,2.607465,0.002661
14,24,127032.773935,72965433.583971,0.479698,0.015054
15,18,109422.243609,90577756.390974,0.0,0.010229
15,19,110153.57594,89844631.578928,0.55635,0.016865
15,26,120750.724812,79247482.70675,0.52309,0.002814
15,28,110669.810526,89328101.954159,0.640035,0.002573
16,23,140182.41604,59816378.186844,0.30601,0.002568
16,25,149522.438095,50475629.388626,0.901699,0.009773
19,24,126247.619048,73751783.458644,0.029564,0.003681
19,25,139068.687719,60930714.786965,0.0,0.00091
20,26,141159.915789,58838291.729321,0.923514,0.002026
22,32,142886.672682,57112132.330835,0.0,0.007429
26,30,146811.011529,53185403.50876,0.857353,0.008548
