node1,node2,free_bw,used_bw,delay,pkloss
1,3,108385.710267,91609688.311883,0.482202,0.001871
1,7,105468.496233,94531462.150707,0.476122,0.00336
1,8,100185.17179,99814005.767365,0.625491,0.010446
1,10,132408.534405,67590669.506451,1.741171,0.027379
1,12,128961.301989,71034531.325868,1.873851,0.009189
1,30,120508.841788,79485778.24105,0.763178,0.003247
2,3,156312.348804,43685854.932688,0.866055,0.003122
2,4,154331.669681,45667132.810932,1.773953,0.002631
2,5,109270.996681,90727370.857767,0.308156,0.005145
2,17,84696.548121,115303451.878645,1.034021,0.000768
2,21,96163.889894,103834912.597953,0.491619,0.001457
2,22,74115.20869,125884690.210182,0.978589,0.019355
2,28,118790.861965,81207940.526424,1.107693,0.005677
2,31,137597.685353,62397384.345282,2.029538,0.006847
3,4,167437.203134,32562796.865583,0.667334,0.002204
3,5,150212.094146,49781845.231571,2.225161,0.045015
3,6,119891.46133,80096608.093495,1.374245,0.001071
3,7,102550.251155,97449150.09041,1.068234,0.002229
3,12,95450.223026,104540196.905769,1.853585,0.002662
3,13,62269.608198,137723206.751059,195.039153,0.001105
3,15,178701.016677,21297785.814746,0.427842,0.009705
3,20,108422.78481,91573023.90998,0.752091,0.002309
3,27,127448.848704,72551151.295957,0.640869,0.010401
3,31,134027.912397,65968175.393647,1.635551,0.00887
3,32,59529.756882,140467249.346987,0.721812,0.004126
4,11,81549.174293,118436869.554082,1.626849,0.003351
4,14,49859.827205,150134185.252164,2.165318,0.001997
4,16,66938.693992,133060108.4991,1.227617,0.00242
4,17,89272.22825,110727172.995784,0.660777,0.001021
5,6,117277.956351,82716648.898713,0.95284,0.001444
5,9,79500.368098,120499631.901827,0.75078,0.005893
5,10,56087.152771,143910568.681907,0.533581,0.006767
5,11,41216.775621,158779627.878892,0.829458,0.001445
5,15,36317.191994,163681580.81615,2.698183,0.006365
5,16,52773.577391,147222313.173025,0.757694,0.011142
6,8,88437.61302,111559361.045113,0.537872,0.009767
6,19,113414.164739,86585235.844311,0.298738,0.001222
6,23,99080.913205,100917811.430312,0.441313,0.008583
6,27,126242.957605,73755282.738288,0.402331,0.006703
7,9,78925.802692,121066242.775295,0.849485,0.004355
8,18,77800.096444,122199165.295233,1.087666,0.003343
10,29,106417.006229,93582395.017081,0.530124,0.013268
11,13,113011.356733,86986083.738992,0.868559,0.011433
11,29,128442.780792,71556640.379596,1.163006,0.010244
13,14,57231.737995,142768262.005228,44.451237,0.001087
13,22,79700.573268,120299418.007543,47.912359,0.007019
14,20,67196.158328,132802644.163154,0.568151,0.003789
14,21,141702.744625,58296656.620456,0.0,0.003003
14,24,59581.751986,140415505.361075,0.580311,0.007227
15,18,16383.524211,183616142.953158,59.816599,0.005964
15,19,65922.3333,134074834.957496,0.658512,0.01001
15,26,96229.801085,103768402.652203,1.394868,0.002574
15,28,119135.744424,80863058.067111,0.371456,0.004077
16,23,101759.847298,98235961.422546,0.792384,0.001452
16,25,91650.480209,108342265.929313,1.288891,0.006183
19,24,60522.836166,139477163.833863,37.109494,0.002468
19,25,123792.416776,76206748.168912,0.694156,0.002411
20,26,132948.957203,67050444.042598,0.705004,0.003269
22,32,106226.554149,93769571.160392,1.01769,0.021873
26,30,125190.347599,74801881.41525,0.7689,0.010133
