node1,node2,free_bw,used_bw,delay,pkloss
1,3,111541.3328,88456630.303056,0.931621,0.000791
1,7,136955.691877,63040987.344743,2.077579,0.003561
1,8,47166.809362,152829595.618811,1.879692,0.029387
1,10,48368.693568,151626639.328635,1.788855,0.011809
1,12,136101.122112,63890775.740784,2.122521,0.031965
1,30,144476.451194,55522953.341992,1.820326,0.002822
2,3,157184.263736,42810621.103598,1.227617,0.003808
2,4,148455.728272,51540506.656272,2.036691,0.002605
2,5,138756.16307,61240613.900249,2.64895,0.008023
2,17,105681.758066,94316455.898525,1.751781,0.001129
2,21,121828.708421,78168910.198792,0.907063,0.000842
2,22,93866.49086,106132146.256622,0.329375,0.012794
2,28,73073.096284,126926098.94599,1.150012,0.004476
2,31,158937.099481,41062570.027949,0.994682,0.003314
3,4,157591.616384,42408383.616375,0.0,0.00511
3,5,192160.335731,7836499.466958,2.107382,0.017625
3,6,118786.717283,81212687.312671,2.588511,0.001146
3,7,105573.450549,94418261.240105,1.11258,0.000551
3,12,122919.859986,77074107.969032,1.029611,0.02968
3,13,98528.671329,101462384.271737,0.024557,0.004154
3,15,158048.887113,41948994.973465,0.0,0.004002
3,20,87575.56044,112421801.24061,1.672864,0.003036
3,27,156630.607061,43366998.167945,0.0,0.026258
3,31,151654.241758,48345691.745727,0.0,0.004352
3,32,68152.271728,131842893.300861,0.683665,0.004331
4,11,78566.817864,121432475.183921,13.870597,0.00612
4,14,112985.094905,87007226.840882,2.41065,0.003109
4,16,74215.92008,125772707.159373,2.031803,0.000993
4,17,129605.106383,70394837.417899,1.188993,0.003286
5,6,137519.856115,62472711.303074,3.299713,0.001711
5,9,147111.358913,52887450.039969,1.873851,0.000986
5,10,132747.378098,67246926.212911,1.86801,0.008658
5,11,113317.873701,86676605.16167,2.859354,0.002436
5,15,138360.611205,61639302.710631,2.162814,0.015009
5,16,127903.43725,72084541.862301,1.326084,0.008141
6,8,104914.885115,95077796.490359,2.453327,0.021896
6,19,108952.159057,91046865.52652,3.186107,0.002966
6,23,126645.050445,73353254.997522,0.0,0.003503
6,27,160789.910991,39206407.141809,0.0,0.026063
7,9,158581.648187,41417726.211235,0.3407,0.010047
8,18,102769.281856,97218971.820351,1.194835,0.032555
10,29,82907.167399,117081415.800983,0.815153,0.009468
11,13,79805.729125,120179533.279435,0.292182,0.01678
11,29,76133.541105,123858588.624368,1.126885,0.014085
13,14,71096.747903,128895624.850314,0.0,0.001955
13,22,55346.632042,144648330.661876,2.346277,0.013354
14,20,100899.898112,99096752.232299,1.381755,0.002667
14,21,144068.37279,55927231.761438,1.713991,0.002931
14,24,34090.12284,165898964.956101,0.642896,0.0175
15,18,80830.855887,119163778.770301,0.69201,0.008906
15,19,124116.295334,75882833.057968,1.641154,0.009818
15,26,121360.287655,78635785.464522,0.764728,0.001806
15,28,71464.634439,128531328.041838,0.0,0.00182
16,23,101759.624413,98237850.598057,0.689387,0.001233
16,25,134321.406734,65668157.999389,1.877069,0.002512
19,24,111958.109701,88039508.442402,2.729058,0.004061
19,25,123705.473074,76293931.461698,0.714421,0.001063
20,26,137917.314954,62081370.489673,0.939965,0.00429
22,32,90061.35837,109937386.362582,0.700831,0.013233
26,30,144289.500599,55706343.715744,0.616789,0.016023
