node1,node2,free_bw,used_bw,delay,pkloss
1,3,142186.533347,57808699.130086,168.958783,0.000544
1,7,97877.124288,102121425.856213,3.069162,0.00578
1,8,95365.216522,104605846.893658,0.652432,0.020264
1,10,30764.228423,169200375.539604,2.642155,0.012418
1,12,121341.633837,78637380.721221,0.854254,0.013331
1,30,89642.467753,110355590.758457,1.207232,0.003263
2,3,163514.0006,36456831.70003,117.841005,0.001114
2,4,156537.2,43450880.0,4.545093,0.001132
2,5,121191.089782,78759575.108977,2.71368,0.006144
2,17,33305.856,166691760.0,1.937628,0.000378
2,21,81587.816,118408608.0,1.53017,0.002322
2,22,25002.384,174992633.234949,0.781417,0.007958
2,28,47623.178318,152356686.841086,2.19059,0.005626
2,31,94354.462893,105640932.553713,0.682354,0.003537
3,4,140416.542346,59569152.827117,47.686696,0.002048
3,5,159669.45011,40286082.864218,2.094388,0.007455
3,6,169767.294541,30223490.015725,30.562282,0.001663
3,7,69225.536,130767329.9902,2.215981,0.001425
3,12,141732.378762,58248345.52592,0.68891,0.014531
3,13,108441.623675,91532578.840486,111.341,0.010499
3,15,98395.592441,101590130.572301,0.903845,0.01106
3,20,118292.850715,81705274.642535,0.699282,0.002376
3,27,70174.545455,129802938.251629,2.786994,0.008047
3,31,60604.576915,139384050.908373,1.134276,0.005877
3,32,76163.391661,123833860.169582,0.748277,0.008889
4,11,110881.159768,89104508.115975,1.276493,0.01011
4,14,136908.536,63062431.669968,34.438133,0.003642
4,16,96171.888,103823766.971098,2.879262,0.002232
4,17,106719.944,93273500.0,2.007365,0.004208
5,6,151758.584283,48222943.411316,1.799464,0.000875
5,9,70949.89802,129047718.456303,0.617743,0.00257
5,10,79744.003199,120231716.772156,1.363516,0.002036
5,11,79721.359728,120265530.893816,3.582239,0.002447
5,15,38739.457946,161232782.524802,0.783086,0.018357
5,16,32405.990802,167576830.581677,70.56725,0.003924
6,8,61869.866027,138113303.810284,0.908494,0.011004
6,19,71401.923808,128591647.574291,61.3904,0.00041
6,23,53592.840716,146402819.794001,1.633406,0.002986
6,27,69739.421942,130232104.665774,2.684116,0.009957
7,9,57444.952,142540199.464904,0.633121,0.008663
8,18,122733.229354,77244386.423045,0.924945,0.020002
10,29,7240.188019,192742425.990601,1.926184,0.004076
11,13,37233.126625,162692614.851675,1.53172,0.017208
11,29,21988.912,177978989.310934,0.703931,0.005051
13,14,18011.810362,181968360.245479,2.672791,0.003324
13,22,69632.110422,130316794.219048,0.531673,0.015927
14,20,80488.712871,119494583.564358,0.771284,0.003864
14,21,108180.450045,91814362.977499,0.700951,0.002591
14,24,55350.543054,144622996.819177,0.977993,0.007279
15,18,74383.918392,125593667.678704,0.78249,0.005334
15,19,72178.49785,127805741.576057,2.618551,0.013276
15,26,139834.839484,60159795.979599,0.858545,0.00608
15,28,48563.808381,151433034.797383,2.966523,0.003357
16,23,93989.510951,106006444.404464,2.702355,0.004156
16,25,111022.510251,88972764.472528,3.061056,0.008807
19,24,64357.860214,135633571.392707,0.889182,0.001627
19,25,64580.789921,135418018.198177,1.906037,0.001377
20,26,117650.693069,82343401.465347,1.243591,0.004156
22,32,81443.584,118548138.013995,1.78659,0.008354
26,30,107235.147515,92744385.850702,2.038479,0.01162
