node1,node2,free_bw,used_bw,delay,pkloss
1,3,96881.401682,103112840.053981,1.532912,0.002969
1,7,138461.722066,61538277.933524,0.489712,0.001355
1,8,113855.586704,86136655.987174,1.23477,0.005206
1,10,105981.273528,94012230.38974,0.767708,0.005167
1,12,175817.388867,24179627.553061,0.473976,0.020434
1,30,152984.645575,47013564.277127,0.839114,0.002004
2,3,106528.91781,93466308.939855,0.72825,0.009225
2,4,124591.995195,75405618.180001,0.418067,0.002524
2,5,130206.62729,69792689.558851,4.828691,0.007865
2,17,78878.670538,121119539.493448,137.285948,0.00092
2,21,71319.034938,128679771.748953,2.556205,0.002075
2,22,59368.2499,140625904.082028,0.972271,0.004013
2,28,158475.626752,41522294.742882,0.668406,0.004241
2,31,176881.930316,23114525.881956,3.015041,0.003581
3,4,46369.387265,153627695.996213,1.961112,0.004121
3,5,138861.569884,61135369.828331,0.468016,0.00563
3,6,61753.440785,138244172.589855,2.08652,0.000691
3,7,144261.802163,55738197.837419,1.122594,0.0
3,12,143587.561073,56407665.198231,0.28944,0.007017
3,13,34400.232256,165580012.026023,0.490904,0.014966
3,15,92802.202643,107188846.615946,0.0,0.009717
3,20,121143.828594,78854381.257514,2.066493,0.004601
3,27,159889.843813,40107172.607131,1.751184,0.002025
3,31,164189.779736,35807833.400076,2.646089,0.009657
3,32,98305.704275,101691312.443692,0.455976,0.003213
4,11,9827.586345,190164657.122809,1.559138,0.005901
4,14,94641.089198,105358910.801867,1.634836,0.004736
4,16,58550.700841,141443412.21838,0.684977,0.000722
4,17,95314.165582,104684641.105201,2.423048,0.0
5,6,118613.752503,81377997.109199,1.15633,0.001556
5,9,112670.412495,87322829.591931,0.440955,0.003143
5,10,105284.309171,94712739.798325,0.551343,0.013452
5,11,112458.488337,87539125.037545,1.943946,0.00087
5,15,123352.823388,76629616.937466,0.0,0.020759
5,16,97700.048058,102288614.337211,1.441836,0.005681
6,8,116348.570284,83642469.287691,0.720382,0.008804
6,19,120140.20024,79855205.716266,1.986861,0.0
6,23,146961.930123,53036279.907891,1.673818,0.004269
6,27,166452.305536,33546390.283613,2.456427,0.003216
7,9,126206.319583,73791179.982005,0.529408,0.003077
8,18,153145.710853,46851902.282734,1.241565,0.003131
10,29,117031.309571,82959167.518796,0.911951,0.006046
11,13,95357.124837,104619008.909786,2.960682,0.009152
11,29,82598.35803,117397555.393037,0.795007,0.00235
13,14,113754.425868,86241994.193601,1.761913,0.001998
13,22,125311.245495,74681436.017348,0.55337,0.012467
14,20,133257.164598,66740091.242128,1.340508,0.00984
14,21,78046.883572,121952519.771754,1.35529,0.000913
14,24,109234.617541,90751889.34741,2.74992,0.00462
15,18,134170.188226,65825038.045647,0.0,0.010924
15,19,126092.99159,73904621.545846,0.0,0.007509
15,26,150026.127353,49973275.931111,0.0,0.001728
15,28,160673.928714,39326071.285538,0.0,0.000881
16,23,126539.38326,73459326.289746,0.512481,0.002752
16,25,127182.643172,72816760.112126,0.615478,0.002044
19,24,136819.511414,63179891.870248,0.445127,0.001553
19,25,129815.354425,70184048.858622,1.56045,0.00075
20,26,148549.851822,51448358.029629,1.559377,0.003882
22,32,111341.02523,88650957.001445,3.058434,0.00448
26,30,147368.354025,52629259.110927,2.481937,0.002567
