node1,node2,free_bw,used_bw,delay,pkloss
1,3,65947.62134,134048645.963035,51.395774,0.00097
1,7,137458.449814,62539159.731275,0.764966,0.003891
1,8,149677.921974,50302091.855815,0.632167,0.007414
1,10,125527.396711,74451844.501747,0.86534,0.014282
1,12,162088.063384,37908135.158587,0.898361,0.012412
1,30,143103.730445,56896269.554755,1.287222,0.002859
2,3,120377.793823,79600285.882192,121.291637,0.002855
2,4,148313.502457,51681119.021353,15.221119,0.002078
2,5,87462.76775,112502904.704316,104.965329,0.002716
2,17,127312.118721,72684237.411333,1.798034,0.002402
2,21,126629.644039,73364287.665729,1.233459,0.001829
2,22,123827.098586,76150920.776239,1.452684,0.007231
2,28,126466.09986,73532805.880871,140.385747,0.005239
2,31,146892.329289,53105334.102326,0.928402,0.008321
3,4,98886.698757,101092407.589858,97.073913,0.003077
3,5,133213.429603,66751905.334939,3.28064,0.003123
3,6,108606.862529,91391743.224155,0.951171,0.002641
3,7,110187.46089,89808633.938591,0.0,0.000533
3,12,122920.344966,77073358.757641,1.083732,0.005535
3,13,112602.109908,87359055.321826,0.0,0.021201
3,15,140136.927397,59806868.632471,1.553178,0.015586
3,20,121660.449258,78334086.580183,0.266552,0.001924
3,27,139459.117529,60531319.695148,2.306819,0.009167
3,31,150024.741276,49974316.079006,1.118183,0.015838
3,32,90930.780028,109067008.70237,0.0,0.001279
4,11,75912.033694,124075171.360992,63.282609,0.004504
4,14,63810.945553,136184363.814968,1.469493,0.009013
4,16,115039.574852,84950788.07024,0.3829,0.000461
4,17,138473.149504,61526156.349032,1.671791,0.000865
5,6,122043.51018,77930147.046008,6.025195,0.003055
5,9,174705.166466,25293711.020283,0.0,0.0
5,10,115296.421982,84695620.588173,0.0,0.039013
5,11,75047.26908,124944672.720167,2.542734,0.000975
5,15,98117.436566,101862733.346052,1.030564,0.024546
5,16,138456.269555,61517840.759018,2.45595,0.013901
6,8,104637.512787,95346949.011054,1.041651,0.005573
6,19,113793.870838,86203002.412974,0.019431,0.001658
6,23,144832.904843,55167095.156924,3.781319,0.002645
6,27,150997.886293,48999789.304363,2.372026,0.01032
7,9,158462.212416,41537208.24101,0.0,0.0
8,18,126513.360746,73486639.253833,5.229354,0.004932
10,29,104865.756391,95129440.06381,0.892401,0.006473
11,13,113369.474529,86595391.056469,50.243378,0.007577
11,29,124692.229018,75303179.514091,0.451207,0.004453
13,14,155131.661153,44864156.39098,3.135085,0.003305
13,22,141490.169492,58479576.908378,0.577688,0.027092
14,20,127174.977444,72819709.994857,1.056075,0.008451
14,21,144931.750551,55065489.135309,0.545621,0.009712
14,24,121393.128071,78604256.014422,2.407908,0.016533
15,18,86631.442607,113364399.045744,3.376126,0.01662
15,19,79811.649123,120187901.872611,1.165986,0.006464
15,26,131163.845614,68832569.423556,2.807498,0.0053
15,28,123873.130827,76124709.902285,2.800345,0.003281
16,23,167312.524564,32687321.393992,2.397299,0.0
16,25,125719.205935,74279875.572196,2.966166,0.008215
19,24,124544.8215,75453582.630707,0.361681,0.000742
19,25,133393.97513,66604231.849179,2.037525,0.0
20,26,158025.968922,41973745.035537,2.076507,0.015467
22,32,128447.577976,71547039.165134,0.53525,0.005487
26,30,146543.286216,53448617.622274,2.548337,0.02271
