node1,node2,free_bw,used_bw,delay,pkloss
1,3,114883.244755,85116159.840173,1.251936,0.001741
1,7,140185.558442,59813846.153856,0.290751,0.001014
1,8,83491.036963,116501222.77722,0.0,0.004105
1,10,98683.476523,101311760.239758,0.0,0.00238
1,12,160922.213786,39076000.000006,0.0,0.003902
1,30,148056.759241,51940518.583216,0.98443,0.023534
2,3,122883.100899,77116303.696316,2.225876,0.001717
2,4,99563.484516,100435324.675322,1.228452,0.001574
2,5,96912.743257,103081616.395586,0.716329,0.022745
2,17,86121.63037,113877178.821197,0.851512,0.000675
2,21,53005.178821,146991248.751272,1.523376,0.002054
2,22,71800.37525,128198761.426206,1.06132,0.021693
2,28,142719.552448,57275088.911098,1.042128,0.002386
2,31,175752.599401,24246805.194809,0.786543,0.008188
3,4,115257.158841,84738673.326656,1.945734,0.002646
3,5,140192.91018,59805407.048045,1.897216,0.023905
3,6,98265.232059,101732275.079336,0.81408,0.02252
3,7,143486.481518,56512923.076932,0.649571,0.001813
3,12,128694.153846,71303464.535463,0.0,0.002837
3,13,90125.130869,109874869.130847,0.128627,0.003143
3,15,130937.734266,69058816.415228,0.504255,0.001115
3,20,114552.151848,85446061.938076,0.0,0.003298
3,27,152423.504495,47571732.26774,0.562072,0.006834
3,31,166163.060939,33836939.060938,0.955343,0.006358
3,32,84054.385614,115944423.576421,0.625491,0.000573
4,11,60768.111888,139231409.125787,1.447201,0.023927
4,14,96734.073926,103261758.241756,0.519037,0.001916
4,16,73065.55045,126934449.550424,0.826836,0.003177
4,17,114017.526474,85981878.121876,0.0,0.003166
5,6,130069.237525,69930088.294115,1.873016,0.004259
5,9,129306.773131,70692078.504332,0.0,0.002115
5,10,103865.461078,96134330.400127,0.585914,0.018135
5,11,90428.646707,109570758.483029,0.0,0.001046
5,15,139077.045908,60917595.315803,0.588894,0.024445
5,16,82471.273453,117527891.744967,0.0,0.025413
6,8,135589.787404,64407016.387937,0.734568,0.026718
6,19,119735.318894,80262460.313426,2.086282,0.000796
6,23,147263.511328,52733403.176924,2.087593,0.027761
6,27,159209.685597,40789003.355166,1.14727,0.02302
7,9,140843.677014,59154337.317343,0.476241,0.021743
8,18,127973.81019,72023557.978938,1.380444,0.023685
10,29,59758.305694,140241694.305691,1.646519,0.003445
11,13,57669.626374,142329538.110574,1.037478,0.025967
11,29,82469.585373,117524788.151749,0.018239,0.026555
13,14,114054.393606,85943224.775223,0.803947,0.0012
13,22,129059.828172,70938081.922061,0.327587,0.021763
14,20,137525.242757,62473566.433576,0.83077,0.003461
14,21,63967.768232,136031636.363658,0.954509,0.000962
14,24,103852.37525,96147422.764865,1.67942,0.027146
15,18,136615.672655,63384242.386061,1.583934,0.02971
15,19,122115.38523,77883903.629351,0.367522,0.025077
15,26,159923.172827,40075420.878384,0.614882,0.000883
15,28,146169.374625,53826150.765425,1.888752,0.003155
16,23,123003.324675,76995484.515483,0.401378,0.003663
16,25,114616.455544,85381979.812592,1.047134,0.025321
19,24,123137.317365,76862682.634727,1.321554,0.000917
19,25,128031.369261,71968630.73852,0.90909,0.0
20,26,153954.837163,46045162.837162,1.552343,0.001892
22,32,125599.288711,74400463.428791,0.810862,0.021887
26,30,151999.576424,47999668.874034,0.763416,0.027893
