node1,node2,free_bw,used_bw,delay,pkloss
1,3,112179.938043,87814483.416367,1.327634,0.000691
1,7,117117.218225,82880995.203823,3.501177,0.011992
1,8,79068.96662,120927287.273502,1.481175,0.015371
1,10,101296.586731,98702389.15693,1.303792,0.012302
1,12,145414.21263,54571242.840635,2.721548,0.025436
1,30,148890.879297,51107929.656276,1.08552,0.060044
2,3,154471.150195,45526467.472771,2.223492,0.002236
2,4,122304.898571,77693910.262819,1.395345,0.001757
2,5,113130.536624,86866338.402449,0.108361,0.02153
2,17,93390.530629,106605895.872874,1.315951,0.000566
2,21,50674.120116,149323497.551693,0.225306,0.001846
2,22,92532.84301,107460596.880329,2.247095,0.025758
2,28,107904.890577,92094513.840299,1.376987,0.003152
2,31,160127.998401,39870214.8496,1.326442,0.009589
3,4,131810.35675,68186069.751189,0.458479,0.003333
3,5,156659.274508,43337369.140971,0.0,0.012344
3,6,129896.20066,70102608.174293,1.662374,0.002121
3,7,111790.378735,88203427.738875,0.891805,0.0
3,12,132930.100929,67050840.411714,1.712561,0.011867
3,13,100077.737584,99918688.917761,12.621999,0.008993
3,15,169771.679824,30225937.843516,3.205776,0.01304
3,20,124772.994904,75223246.752855,1.577377,0.000779
3,27,148427.56195,51566676.704406,2.033234,0.020895
3,31,164659.194564,35337827.520737,2.244949,0.024593
3,32,88075.499151,111917949.4354,2.129555,0.004886
4,11,64760.803438,135237409.813136,1.822472,0.017677
4,14,87392.960927,112605252.323378,0.512838,0.003177
4,16,101077.078045,98915002.144403,0.930548,0.003615
4,17,135703.135805,64295673.028882,0.0,0.000879
5,6,125794.967523,74202516.238649,0.882149,0.019344
5,9,131676.994104,68321974.57064,1.927018,0.003245
5,10,92649.529329,107341534.296119,0.781298,0.02131
5,11,61648.334166,138340585.115204,0.47791,0.002332
5,15,135443.461577,64554504.223556,1.791239,0.020746
5,16,115480.767386,84519232.613926,1.058698,0.021254
6,8,125102.562463,74894886.451378,1.770854,0.022785
6,19,92865.130409,107131303.700522,1.246333,0.02579
6,23,140351.071143,59646548.96928,0.608444,0.003152
6,27,158572.335365,41424091.136206,1.476407,0.056611
7,9,147718.4291,52280149.95857,1.019478,0.049457
8,18,138405.644613,61591178.492736,1.513481,0.027472
10,29,111109.672262,88888217.731204,1.217723,0.007324
11,13,54959.936045,145031725.791925,1.820445,0.045385
11,29,37556.950135,162428383.445712,29.36542,0.029224
13,14,71680.335765,128319068.651925,0.402689,0.00485
13,22,91389.37144,108602820.275191,1.932025,0.038545
14,20,119373.390627,80623176.789025,1.17147,0.005723
14,21,72280.635555,127716982.112503,1.92821,0.000655
14,24,70947.56195,129049356.828298,1.294613,0.040496
15,18,66714.363945,133278977.100127,0.200033,0.025047
15,19,64061.588888,135935788.289928,1.478314,0.026297
15,26,91071.282103,108928717.897496,1.401305,0.000515
15,28,110889.953033,89108855.800943,2.035737,0.001088
16,23,147961.814548,52034612.310153,0.349998,0.00859
16,25,115355.707434,84644292.565949,1.609802,0.026198
19,24,49301.422862,150695599.520359,1.495242,0.000979
19,25,80730.77538,119268033.573122,0.0,0.000591
20,26,129629.264588,70368891.239364,0.738859,0.003257
22,32,85955.27131,114036053.393702,0.43714,0.028547
26,30,129413.730389,70581552.071838,1.600504,0.039383
