node1,node2,free_bw,used_bw,delay,pkloss
1,3,3195.760369,196789578.019679,2.129912,0.001788
1,7,50053.445547,149921712.505529,1.940846,0.003436
1,8,60659.125038,139325361.898094,1.769304,0.023925
1,10,64358.442287,135638945.022913,2.485394,0.008124
1,12,142876.02763,57112635.899481,1.771688,0.004927
1,30,170207.612374,29777159.551521,79.027891,0.0
2,3,30770.776475,169209999.460207,2.587795,0.012649
2,4,62004.496543,137993712.052904,2.081871,0.002293
2,5,7697.449153,192282922.7179,59.54659,0.020322
2,17,107008.091374,92991311.491837,0.255466,0.0
2,21,133456.375113,66540639.214509,0.0,0.001395
2,22,64814.611762,135165682.797318,0.157237,0.014843
2,28,162705.114228,37293017.477497,0.619173,0.001512
2,31,123752.938583,76235983.160793,0.59402,0.011191
3,4,5744.915339,194248936.840549,0.383139,0.002397
3,5,5121.827289,194876200.583901,60.69231,0.009797
3,6,37097.519535,162902281.210278,1.681209,0.003668
3,7,13699.893798,186293162.698169,0.38588,0.000743
3,12,150940.434478,49055272.642821,2.890587,0.005636
3,13,60580.565017,139414322.096104,2.285719,0.008519
3,15,50306.102985,149688249.80863,1.204491,0.010289
3,20,111547.006012,88448312.261472,0.297189,0.005385
3,27,146997.68145,53001199.347329,0.874877,0.006022
3,31,135081.114005,64914369.924317,0.0,0.023415
3,32,56255.35564,143742888.255443,2.155662,0.002826
4,11,24057.789801,175941015.930272,1.422405,0.004703
4,14,5671.968741,194323603.175986,1.032114,0.0039
4,16,13524.761523,186458731.351498,0.670791,0.004405
4,17,122758.064322,77240741.408678,0.689149,0.003773
5,6,29380.64723,170608007.21371,1.906276,0.008336
5,9,138602.348697,61393381.307051,1.853108,0.00152
5,10,81196.440882,118800177.957531,1.826525,0.019673
5,11,25477.679591,174512766.25589,2.015829,0.003556
5,15,100165.429429,99831213.749378,2.141237,0.014295
5,16,36589.55511,163377776.297215,1.28293,0.015885
6,8,65643.434526,134356462.735215,2.09713,0.018496
6,19,65789.135357,134210267.508269,0.0,0.001043
6,23,125186.109608,74812098.988079,0.0,0.005292
6,27,141747.039375,58251113.408997,0.0,0.011362
7,9,148282.079952,51716725.778981,1.888394,0.002883
8,18,121932.149364,78065697.685358,1.919389,0.014406
10,29,106235.203203,93759817.236085,2.397656,0.00368
11,13,54263.244164,145727785.325468,0.339389,0.007854
11,29,117164.203988,82828599.40902,2.296805,0.00257
13,14,72058.522522,127939687.68769,0.0,0.00131
13,22,62569.385833,137424191.968359,0.0,0.009938
14,20,125686.180361,74302875.785601,0.0,0.009449
14,21,135784.122535,64205784.639826,0.674367,0.001349
14,24,75451.428571,124546534.987898,0.0,0.004438
15,18,102619.77978,97378742.511684,1.515269,0.003125
15,19,91100.426811,108895264.072019,0.0,0.009033
15,26,142412.24727,57582693.181917,0.387192,0.003671
15,28,170792.920921,29200810.080625,0.0,0.004739
16,23,130051.671343,69940047.506698,31.440854,0.006278
16,25,105017.282565,94970793.643798,0.666142,0.013022
19,24,68963.502655,131035303.075847,0.0,0.002122
19,25,119170.528003,80828277.727684,0.0,0.001314
20,26,150644.296163,49353996.207224,6.615043,0.007718
22,32,95402.18415,104596621.580987,0.0,0.00482
26,30,172833.816251,27161837.616898,0.882506,0.007
