node1,node2,free_bw,used_bw,delay,pkloss
1,3,3808.467621,196185293.811667,59.249759,0.003021
1,7,34083.811049,165913754.569664,0.94831,0.00431
1,8,99866.845476,100124448.410263,19.271016,0.019582
1,10,35614.767384,164369946.172037,0.595331,0.015087
1,12,123899.693724,76087832.209456,0.896573,0.039686
1,30,134269.365873,65725317.063413,2.254248,0.010119
2,3,2171.318791,197824024.351352,64.335823,0.015575
2,4,3262.594075,196732629.318176,59.931636,0.005232
2,5,90.676271,199895930.625987,162.044406,0.015474
2,17,110806.812769,89189917.609923,2.627611,0.00056
2,21,84243.225936,115753792.275358,7.177711,0.001195
2,22,56453.151946,143530226.108444,6.710768,0.006016
2,28,185478.543126,14519667.80068,1.678944,0.018586
2,31,153264.486692,46730193.872603,5.157232,0.012799
3,4,72.682146,199920160.128099,119.423866,0.002868
3,5,38.255302,199952857.937398,60.247421,0.044757
3,6,42.529218,199951937.953113,116.552949,0.064151
3,7,13035.324259,186956325.060044,0.282884,0.001909
3,12,111222.626101,88769747.373732,0.994086,0.026383
3,13,13564.902451,186431471.912889,1.451969,0.007895
3,15,40697.55004,159298816.775874,6.938338,0.031127
3,20,116002.794235,83992406.544867,0.598669,0.006986
3,27,143945.316253,56047045.755053,5.218625,0.056486
3,31,161634.443555,38343698.68281,7.216096,0.024126
3,32,39533.777644,160463515.501293,50.08316,0.006619
4,11,25976.493195,174011229.297903,0.748158,0.015219
4,14,36954.101051,163033990.30741,5.249977,0.015713
4,16,29550.584468,170446076.587499,2.564549,0.001676
4,17,117085.944161,82914029.520822,5.702257,0.004233
5,6,17556.886755,182423118.904126,0.777602,0.045763
5,9,126435.998399,73563899.369883,0.099659,0.001391
5,10,55379.713857,144619610.858638,22.689104,0.00695
5,11,28142.456983,171846315.0173,59.703469,0.006351
5,15,16495.111556,183502864.390162,25.457621,0.007374
5,16,10195.726291,189792851.283384,0.556231,0.014101
6,8,106034.15443,93957644.673685,0.372171,0.059667
6,19,69915.959192,130072806.539332,0.24271,0.053624
6,23,121008.274898,78991074.720927,2.586722,0.05549
6,27,142320.936375,57678716.70934,2.301455,0.098753
7,9,139410.247074,60585228.74476,0.280619,0.016003
8,18,84188.584575,115804687.304148,1.102209,0.010444
10,29,99530.991694,100465515.658654,0.639081,0.011618
11,13,86228.602301,113759693.648382,3.090262,0.002526
11,29,101781.53723,98200317.602353,0.931978,0.024636
13,14,90025.828914,109970593.29665,0.366211,0.001832
13,22,41526.515258,158465382.963362,4.523396,0.002268
14,20,118735.634944,81260408.640829,3.807187,0.006451
14,21,112416.409846,87581801.080643,7.122278,0.00348
14,24,70643.353006,129354681.676149,2.549052,0.006101
15,18,50391.109333,149600603.412638,0.757575,0.005195
15,19,87154.057029,112840338.959235,5.300522,0.008531
15,26,130527.543772,69469474.737363,1.729608,0.005174
15,28,186908.678339,13090783.904259,1.77002,0.013351
16,23,119584.58275,80415114.549912,1.662612,0.005542
16,25,128708.765753,71288803.034971,2.226949,0.006252
19,24,92042.644793,107953744.616689,0.361919,0.002262
19,25,154663.796759,45335607.121426,2.693176,0.000633
20,26,160819.997999,39178467.233815,3.412604,0.006688
22,32,31458.90167,168523538.257131,18.414617,0.013839
26,30,153304.644929,46691629.511494,5.18012,0.009216
