node1,node2,free_bw,used_bw,delay,pkloss
1,3,192496.476705,7503148.231695,1.258373,0.0
1,7,192654.981004,7345018.996201,1.481175,0.009512
1,16,153882.207558,46117792.441512,1.30856,0.005849
2,4,133202.759448,66796048.790242,2.340436,0.002684
2,7,175001.415717,24997988.40232,1.681805,0.003841
2,12,152668.994201,47329235.779556,0.0,0.006955
2,13,156519.576085,43480423.915217,1.170278,0.004286
2,18,24400.767846,25599232.153569,1.735687,0.007951
2,23,45838.176365,4161823.635273,2.085447,0.0
3,10,195345.978804,4653788.56449,1.623154,0.025677
3,11,40526.250125,9473627.586989,0.0,0.006409
3,14,209.738052,2889521.6566,471.080661,0.022139
3,21,190321.287614,9678004.463488,1.722574,0.009532
4,16,146184.619076,53814189.162168,1.300097,0.00228
5,8,40684.738578,9314665.60032,1.693487,0.0
5,16,0.639872,49998052.552241,154.390931,0.003577
6,7,1348.093572,1751398.125054,2.106071,0.031746
6,19,3085.508347,14491.652504,1.57845,0.0
7,17,189850.765847,10148638.272346,1.371503,0.012581
7,19,47407.726455,2592143.970486,1.554728,0.039401
7,21,195997.872426,4001531.693661,1.154423,0.01073
8,9,14563.967207,35434261.523183,87.240219,0.002386
9,15,11818.14837,38181255.74885,1.663208,0.00452
9,16,133580.54789,66418856.228754,1.254201,0.006792
10,11,15530.485903,34469514.097181,86.562276,0.004773
10,12,130265.066987,69730851.491203,0.0,0.004784
10,16,127354.785043,72643427.314537,3.265858,0.001465
10,17,149794.465107,50204939.012198,2.115965,0.001228
12,22,193063.257023,6936742.977107,0.0,0.0
13,14,631.669666,2468330.333933,1816.599727,0.0
13,17,185502.027594,14496780.643871,1.306534,0.0
13,19,45385.306939,4614462.395934,1.504421,0.0
15,20,11418.908218,38581091.781644,1.533628,0.00293
17,20,155212.213557,44785998.80024,1.36292,0.003657
17,23,45597.440512,4402559.488102,2.009869,0.014225
18,21,37096.604679,12902799.440112,1.923323,0.013231
20,22,44418.788242,5580932.780754,1.463056,0.0
